Realized inflation;Immediate inflation;Loan interest rate;Average loan interest rate;Deposit interest rate;Average deposit IR
-0.000251236;0.000398118;0.00149061;0.00153855;-0.00148618;-0.00153382
-0.000121365;0.000551748;0.00148959;0.00152896;-0.00148517;-0.0015243
1.32573e-05;0.000528591;0.00148853;0.00152109;-0.00148411;-0.00151647
0.000116324;0.000454095;0.00148185;0.00151458;-0.00147747;-0.00151
0.000183878;0.000400851;0.00146927;0.00150803;-0.00146497;-0.00150349
0.000227273;0.000301058;0.00146794;0.00150028;-0.00146365;-0.00149579
0.00024203;0.000235585;0.00146749;0.00149381;-0.0014632;-0.00148936
0.000240741;0.000105178;0.0014661;0.00148855;-0.00146182;-0.00148413
0.000213628;3.16683e-05;0.00146369;0.00148406;-0.00145941;-0.00147967
0.000177236;-7.86262e-05;0.00146341;0.00147998;-0.00145913;-0.00147562
0.000126064;-0.000277779;0.00145443;0.00147667;-0.00145021;-0.00147232
4.52953e-05;-0.000615487;0.00145266;0.00147222;-0.00144846;-0.0014679
-8.68612e-05;-0.00129657;0.00144947;0.00146831;-0.00144528;-0.00146401
-0.000328803;-0.000733558;0.00144603;0.00146454;-0.00144186;-0.00146026
-0.000409754;-0.000413151;0.00144248;0.00146084;-0.00143833;-0.00145658
-0.000410433;-4.88766e-05;0.00143965;0.00145717;-0.00143551;-0.00145293
-0.000338122;0.000306567;0.00143791;0.00145366;-0.00143378;-0.00144945
-0.000209184;0.000576622;0;0.00145051;0;-0.00144632
-5.20228e-05;0.00040059;0;0.00116041;0;-0.00115705
3.84997e-05;-2.20589e-05;0;0.000928327;0;-0.000925642
2.6388e-05;-0.00035636;0;0.000742662;0;-0.000740513
-5.01616e-05;-0.00125591;0;0.00059413;0;-0.000592411
-0.000291312;-0.000892422;0;0.000475304;0;-0.000473929
-0.000411534;-0.000716923;0;0.000380243;0;-0.000379143
-0.000472612;-0.000541035;0;0.000304194;0;-0.000303314
-0.000486296;-0.000396462;0;0.000243355;0;-0.000242651
-0.00046833;-0.000143482;0;0.000194684;0;-0.000194121
-0.00040336;7.50757e-05;0;0.000155748;0;-0.000155297
-0.000307673;0.00041162;0;0.000124598;0;-0.000124238
-0.000163814;0.000519734;0;9.96784e-05;0;-9.939e-05
-2.71046e-05;0.000466339;0;7.97427e-05;0;-7.9512e-05
7.15842e-05;0.00035386;0;6.37942e-05;0;-6.36096e-05
0.000128039;0.000218389;0;5.10353e-05;0;-5.08877e-05
0.000146109;0.000165122;0;4.08283e-05;0;-4.07102e-05
0.000149912;0.000128967;0;3.26626e-05;0;-3.25681e-05
0.000145723;8.65849e-05;0;2.61301e-05;0;-2.60545e-05
0.000133895;5.33794e-05;0;2.09041e-05;0;-2.08436e-05
0.000117792;-1.6694e-05;0;1.67233e-05;0;-1.66749e-05
9.0895e-05;-7.66324e-05;0;1.33786e-05;0;-1.33399e-05
5.73895e-05;-0.000188341;0;1.07029e-05;0;-1.06719e-05
8.24347e-06;-0.000372831;0;8.56231e-06;0;-8.53754e-06
-6.79714e-05;-0.00152237;0;6.84985e-06;0;-6.83003e-06
-0.000358852;-0.000785964;0;5.47988e-06;0;-5.46402e-06
-0.000444274;-0.000293739;0;4.3839e-06;0;-4.37122e-06
-0.000414167;7.58529e-05;0;3.50712e-06;0;-3.49698e-06
-0.000316163;0.00043885;0;2.8057e-06;0;-2.79758e-06
-0.000165161;0.000638295;0;2.24456e-06;0;-2.23806e-06
-4.46971e-06;0.000555922;0;1.79565e-06;0;-1.79045e-06
0.000107609;0.000605565;0;1.43652e-06;0;-1.43236e-06
0.0002072;0.000513525;0;1.14921e-06;0;-1.14589e-06
0.000268465;0.000418366;0;9.19371e-07;0;-9.16711e-07
0.000298445;0.00032943;0;7.35497e-07;0;-7.33369e-07
0.000304642;0.000256498;0;5.88397e-07;0;-5.86695e-07
0.000295013;0.000197839;0;4.70718e-07;0;-4.69356e-07
0.000275578;6.75593e-05;0;3.76574e-07;0;-3.75485e-07
0.000233975;-3.49296e-05;0;3.01259e-07;0;-3.00388e-07
0.000180194;-9.53667e-05;0;2.41008e-07;0;-2.4031e-07
0.000125082;-0.000241414;0;1.92806e-07;0;-1.92248e-07
5.17825e-05;-0.000395774;0;1.54245e-07;0;-1.53799e-07
-3.77288e-05;-0.00134242;0;1.23396e-07;0;-1.23039e-07
-0.000298668;-0.000766273;0;9.87167e-08;0;-9.84311e-08
-0.000392189;-0.000303267;0;7.89734e-08;0;-7.87449e-08
-0.000374405;7.83643e-05;0;6.31787e-08;0;-6.29959e-08
-0.000283851;0.000390132;0;5.0543e-08;0;-5.03967e-08
-0.000149054;0.000657601;0;4.04344e-08;0;-4.03174e-08
1.22768e-05;0.000547693;0;3.23475e-08;0;-3.22539e-08
0.00011936;0.000548768;0;2.5878e-08;0;-2.58031e-08
0.000205241;0.0005121;0;2.07024e-08;0;-2.06425e-08
0.000266613;0.00041415;0;1.65619e-08;0;-1.6514e-08
0.000296121;0.000368875;0;1.32495e-08;0;-1.32112e-08
0.000310671;0.000296616;0;1.05996e-08;0;-1.0569e-08
0.00030786;0.000216419;0;8.4797e-09;0;-8.45517e-09
0.000289572;0.000146162;0;6.78376e-09;0;-6.76413e-09
0.00026089;7.85188e-05;0;5.42701e-09;0;-5.41131e-09
0.000224416;5.0599e-06;0;4.34161e-09;0;-4.32905e-09
0.000180545;-2.45641e-05;0;3.47329e-09;0;-3.46324e-09
0.000139523;-9.25636e-05;0;2.77863e-09;0;-2.77059e-09
9.31056e-05;-0.000162677;0;2.2229e-09;0;-2.21647e-09
4.19491e-05;-0.000285355;0;1.77832e-09;0;-1.77318e-09
-2.35116e-05;-0.0014841;0;1.42266e-09;0;-1.41854e-09
-0.000315629;-0.000875543;0;1.13813e-09;0;-1.13483e-09
-0.000427612;-0.000292767;0;9.10501e-10;0;-9.07867e-10
-0.000400643;0.000102119;0;7.28401e-10;0;-7.26293e-10
-0.00030009;0.000400093;0;5.82721e-10;0;-5.81035e-10
-0.000160054;0.000669939;0;4.66176e-10;0;-4.64828e-10
5.94472e-06;0.000638313;0;3.72941e-10;0;-3.71862e-10
0.000132418;0.000626853;0;2.98353e-10;0;-2.9749e-10
0.000231305;0.000501178;0;2.38682e-10;0;-2.37992e-10
0.00028528;0.000459437;0;1.90946e-10;0;-1.90393e-10
0.000320111;0.000404298;0;1.52757e-10;0;-1.52315e-10
0.000336949;0.000320561;0;1.22205e-10;0;-1.21852e-10
0.000333671;0.000292786;0;9.77643e-11;0;-9.74814e-11
0.000325494;0.000231787;0;7.82114e-11;0;-7.79852e-11
0.000306753;0.000198715;0;6.25691e-11;0;-6.23881e-11
0.000285145;0.000146271;0;5.00553e-11;0;-4.99105e-11
0.00025737;0.000101979;0;4.00443e-11;0;-3.99284e-11
0.000226292;0.000110627;0;3.20354e-11;0;-3.19427e-11
0.000203159;9.57901e-05;0;2.56283e-11;0;-2.55542e-11
0.000181685;7.43067e-05;0;2.05027e-11;0;-2.04433e-11
0.00016021;0.000101394;0;1.64021e-11;0;-1.63547e-11
0.000148446;9.01968e-05;0;1.31217e-11;0;-1.30837e-11
0.000136796;8.74914e-05;0;1.04974e-11;0;-1.0467e-11
0.000126935;7.91606e-05;0;8.39789e-12;0;-8.37359e-12
0.00011738;0.000107562;0;6.71831e-12;0;-6.69887e-12
0.000115417;0.000128403;0;5.37465e-12;0;-5.3591e-12
0.000118014;0.000209364;0;4.29972e-12;0;-4.28728e-12
0.000136284;0.000286092;0;3.43978e-12;0;-3.42982e-12
0.000166245;0.000314132;0;2.75182e-12;0;-2.74386e-12
0.000195823;0.00028233;0;2.20146e-12;0;-2.19509e-12
0.000213124;0.000227778;0;1.76116e-12;0;-1.75607e-12
0.000216055;0.000150792;0;1.40893e-12;0;-1.40486e-12
0.000203002;9.75563e-05;0;1.12715e-12;0;-1.12388e-12
0.000181913;6.64053e-05;0;9.01716e-13;0;-8.99108e-13
0.000158812;-1.61682e-05;0;7.21373e-13;0;-7.19286e-13
0.000123816;-6.38633e-05;0;5.77099e-13;0;-5.75429e-13
8.62799e-05;-4.55674e-05;0;4.61679e-13;0;-4.60343e-13
5.99104e-05;-6.08674e-05;0;3.69343e-13;0;-3.68274e-13
3.57548e-05;-5.57659e-05;0;2.95474e-13;0;-2.9462e-13
1.74507e-05;-0.000114684;0;2.3638e-13;0;-2.35696e-13
-8.97634e-06;-0.000172212;0;1.89104e-13;0;-1.88557e-13
-4.16236e-05;-0.00147427;0;1.51283e-13;0;-1.50845e-13
-0.000328153;-0.00103604;0;1.21026e-13;0;-1.20676e-13
-0.000469731;-0.00025574;0;9.68211e-14;0;-9.65409e-14
-0.000426933;0.000147499;0;7.74569e-14;0;-7.72328e-14
-0.000312046;0.000483316;0;6.19655e-14;0;-6.17862e-14
-0.000152974;0.000689354;0;4.95724e-14;0;-4.9429e-14
1.54917e-05;0.000603215;0;3.96579e-14;0;-3.95432e-14
0.000133036;0.000665251;0;3.17263e-14;0;-3.16345e-14
0.000239479;0.000556256;0;2.53811e-14;0;-2.53076e-14
0.000302835;0.000507703;0;2.03048e-14;0;-2.02461e-14
0.000343808;0.00047423;0;1.62439e-14;0;-1.61969e-14
0.000369893;0.000419261;0;1.29951e-14;0;-1.29575e-14
0.000379766;0.000370324;0;1.03961e-14;0;-1.0366e-14
0.000377878;0.000309054;0;8.31687e-15;0;-8.2928e-15
0.000364113;0.000224009;0;6.65349e-15;0;-6.63424e-15
0.000336092;0.000186726;0;5.32279e-15;0;-5.30739e-15
0.000306219;0.00016595;0;4.25824e-15;0;-4.24592e-15
0.000278165;0.000204156;0;3.40659e-15;0;-3.39673e-15
0.000263363;0.00020741;0;2.72527e-15;0;-2.71739e-15
0.000252173;0.000261409;0;2.18022e-15;0;-2.17391e-15
0.00025402;0.000229363;0;1.74417e-15;0;-1.73913e-15
0.000249089;0.00021526;0;1.39534e-15;0;-1.3913e-15
0.000242323;0.000203331;0;1.11627e-15;0;-1.11304e-15
0.000234524;0.000221483;0;8.93017e-16;0;-8.90433e-16
