Realized inflation;Immediate inflation;Loan interest rate;Average loan interest rate;Deposit interest rate;Average deposit IR
0.000264584;0.000449739;0;2.22466e-15;0;-2.22414e-15
0.000301615;0.000416683;0;1.77973e-15;0;-1.77931e-15
0.000324629;0.000329404;0;1.42378e-15;0;-1.42345e-15
0.000325584;0.000253989;0;1.13903e-15;0;-1.13876e-15
0.000311265;0.000205402;0;9.11221e-16;0;-9.11006e-16
0.000290092;0.000158903;0;7.28977e-16;0;-7.28805e-16
0.000263854;0.00010837;0;5.83182e-16;0;-5.83044e-16
0.000232758;6.12473e-05;0;4.66545e-16;0;-4.66435e-16
0.000198456;1.86701e-05;0;3.73236e-16;0;-3.73148e-16
0.000162498;-2.12401e-05;0;2.98589e-16;0;-2.98518e-16
0.000125751;-7.4296e-05;0;2.38871e-16;0;-2.38815e-16
8.57414e-05;-0.000120522;0;1.91097e-16;0;-1.91052e-16
4.44888e-05;-0.000243225;0;1.52878e-16;0;-1.52841e-16
-1.3054e-05;-0.00145497;0;1.22302e-16;0;-1.22273e-16
-0.000301438;-0.00093143;0;9.78416e-17;0;-9.78185e-17
-0.000427436;-0.000351452;0;7.82733e-17;0;-7.82548e-17
-0.000412239;9.53449e-05;0;6.26187e-17;0;-6.26038e-17
-0.000310722;0.00041415;0;5.00949e-17;0;-5.00831e-17
-0.000165748;0.000662122;0;4.00759e-17;0;-4.00665e-17
-1.7385e-07;0.000659184;0;3.20608e-17;0;-3.20532e-17
0.000131698;0.000638281;0;2.56486e-17;0;-2.56425e-17
0.000233014;0.00058937;0;2.05189e-17;0;-2.0514e-17
0.000304286;0.000500163;0;1.64151e-17;0;-1.64112e-17
0.000343461;0.000395571;0;1.31321e-17;0;-1.3129e-17
0.000353883;0.000328779;0;1.05057e-17;0;-1.05032e-17
0.000348862;0.000326597;0;8.40453e-18;0;-8.40255e-18
0.000344409;0.000234004;0;6.72363e-18;0;-6.72204e-18
0.000322328;0.000155463;0;5.3789e-18;0;-5.37763e-18
0.000288955;0.000131303;0;4.30312e-18;0;-4.3021e-18
0.000257425;6.99958e-05;0;3.4425e-18;0;-3.44168e-18
0.000219939;4.34766e-05;0;2.754e-18;0;-2.75335e-18
0.000184646;3.10805e-05;0;2.2032e-18;0;-2.20268e-18
0.000153933;3.20304e-05;0;1.76256e-18;0;-1.76214e-18
0.000129553;2.54623e-05;0;1.41005e-18;0;-1.40971e-18
0.000108735;7.17113e-05;0;1.12804e-18;0;-1.12777e-18
0.00010133;0.000162437;0;9.0243e-19;0;-9.02217e-19
